reclat,reclon,,,,
42.95076723,-78.82294734,,,,
42.950778,-78.82292307,,,,
42.95077256,-78.82288931,,,,
42.95076727,-78.82287163,,,,
42.95076297,-78.8228351,,,,
42.9507903,-78.82278846,,,,
42.9508041,-78.82276871,,,,
42.9508287,-78.82275181,,,,
42.95084058,-78.82278825,,,,
42.95086174,-78.82278355,,,,
42.95084553,-78.82279989,,,,
42.95083004,-78.82276909,,,,
42.95081591,-78.82274074,,,,
42.95079796,-78.82271925,,,,
42.95076858,-78.8227344,,,,
42.95076018,-78.82274589,,,,
42.95074299,-78.82275565,,,,
42.95071119,-78.82274613,,,,
42.95067357,-78.82274583,,,,
42.95063855,-78.82270323,,,,
42.95060124,-78.82265811,,,,
42.95056229,-78.8226062,,,,
42.95052455,-78.82255217,,,,
42.95048129,-78.82249274,,,,
42.95043758,-78.82241991,,,,
42.95039058,-78.82234014,,,,
42.9503467,-78.82226024,,,,
42.95028273,-78.82219892,,,,
42.95023907,-78.82212617,,,,
42.95019842,-78.82205846,,,,
42.95017153,-78.82197625,,,,
42.95013457,-78.82190822,,,,
42.95009701,-78.82184168,,,,
42.95005764,-78.82177627,,,,
42.9500009,-78.82172794,,,,
42.94996072,-78.8216606,,,,
42.94991738,-78.82158814,,,,
42.9498745,-78.82151689,,,,
42.94983415,-78.82144982,,,,
42.94979994,-78.82139297,,,,
42.94977385,-78.82134962,,,,
42.94975375,-78.82131622,,,,
42.94973973,-78.82129261,,,,
42.94977025,-78.82123309,,,,
42.94977077,-78.82122426,,,,
42.9497548,-78.82119419,,,,
42.94970014,-78.82122627,,,,
42.94969631,-78.82121986,,,,
42.94966762,-78.82122796,,,,
42.94963283,-78.82126341,,,,
42.94958957,-78.82130605,,,,
42.94954588,-78.821351,,,,
42.94950376,-78.82139434,,,,
42.94946149,-78.82143111,,,,
42.94942344,-78.82146444,,,,
42.94939116,-78.82148801,,,,
42.94936842,-78.82149994,,,,
42.94937017,-78.82151265,,,,
42.94936093,-78.82153453,,,,
42.94936137,-78.82156033,,,,
42.94934522,-78.82156261,,,,
42.94932289,-78.82158359,,,,
42.94930089,-78.82160426,,,,
42.9492809,-78.82164352,,,,
42.94918521,-78.82164597,,,,
42.94916969,-78.82158451,,,,
42.94915082,-78.82150983,,,,
42.94913326,-78.82142526,,,,
42.94911616,-78.82133065,,,,
42.94910415,-78.82122966,,,,
42.94909399,-78.82111936,,,,
42.94908612,-78.82100733,,,,
42.94907889,-78.82089397,,,,
42.94907521,-78.82077951,,,,
42.94907153,-78.82066473,,,,
42.94906871,-78.82054638,,,,
42.94906688,-78.82043095,,,,
42.94906505,-78.82031456,,,,
42.94906323,-78.82019971,,,,
42.94906142,-78.82008503,,,,
42.94905958,-78.81996869,,,,
42.94905774,-78.81985235,,,,
42.94905592,-78.8197367,,,,
42.94905404,-78.81961809,,,,
42.94905217,-78.81949943,,,,
42.94905027,-78.81937949,,,,
42.94904819,-78.81925912,,,,
42.94904573,-78.81913639,,,,
42.94904324,-78.81901242,,,,
42.94904071,-78.8188868,,,,
42.94903821,-78.8187621,,,,
42.94903573,-78.81863882,,,,
42.94903329,-78.81851711,,,,
42.94903065,-78.81839665,,,,
42.94902805,-78.81827774,,,,
42.94902561,-78.81816624,,,,
42.94902336,-78.81806341,,,,
42.94902133,-78.81797067,,,,
42.94901961,-78.81789177,,,,
42.94901833,-78.8178334,,,,
42.94901745,-78.8177931,,,,
42.94901683,-78.81776452,,,,
42.94901618,-78.81772085,,,,
42.94899498,-78.81769546,,,,
42.94895664,-78.8176727,,,,
42.94890211,-78.81767095,,,,
42.94883568,-78.81765915,,,,
42.9487634,-78.81765521,,,,
42.94869035,-78.81765347,,,,
42.94861798,-78.81765173,,,,
42.94855144,-78.81764943,,,,
42.9484949,-78.81764963,,,,
42.94845134,-78.81764949,,,,
42.94841428,-78.81764956,,,,
42.9483902,-78.8176516,,,,
42.94836994,-78.81765591,,,,
42.94835362,-78.81766882,,,,
42.94829774,-78.81767852,,,,
42.94825062,-78.81766063,,,,
42.94819709,-78.81765734,,,,
42.94814037,-78.81765567,,,,
42.94807494,-78.81765295,,,,
42.94800311,-78.81765245,,,,
42.94792968,-78.81765268,,,,
42.94785497,-78.81766049,,,,
42.9477803,-78.81766176,,,,
42.94770728,-78.81766406,,,,
42.94764181,-78.81765977,,,,
42.94758483,-78.81765856,,,,
42.94753604,-78.81765792,,,,
42.94749653,-78.8176626,,,,
42.94746898,-78.81766037,,,,
42.94744674,-78.8176594,,,,
42.94743899,-78.81765875,,,,
42.94741244,-78.81766114,,,,
42.94740188,-78.81766034,,,,
42.94737341,-78.81763669,,,,
42.94724594,-78.81760578,,,,
42.94724081,-78.81754521,,,,
42.94723616,-78.81749035,,,,
42.94723117,-78.81743136,,,,
42.94722605,-78.81737087,,,,
42.94722095,-78.81731061,,,,
42.94721596,-78.81725171,,,,
42.94721091,-78.81719204,,,,
42.9472041,-78.81711159,,,,
42.94719754,-78.81703405,,,,
42.94719054,-78.81695142,,,,
42.94718311,-78.81686365,,,,
42.94717496,-78.81676732,,,,
42.94716642,-78.81666648,,,,
42.94715717,-78.81655725,,,,
42.94714746,-78.81644248,,,,
42.94713792,-78.8163298,,,,
42.94712771,-78.81620919,,,,
42.94711728,-78.81608597,,,,
42.94710675,-78.81596162,,,,
42.94709624,-78.81583927,,,,
42.94708559,-78.81571628,,,,
42.94707499,-78.81559383,,,,
42.94706432,-78.81547057,,,,
42.94705364,-78.81534727,,,,
42.94704265,-78.81522028,,,,
42.94703154,-78.81509193,,,,
42.94702044,-78.81496371,,,,
42.94700958,-78.81483827,,,,
42.94699893,-78.81471531,,,,
42.94698822,-78.81459161,,,,
42.94697801,-78.81447364,,,,
42.94696835,-78.81436206,,,,
42.9469593,-78.81425754,,,,
42.94695249,-78.81416669,,,,
42.9469469,-78.81409414,,,,
42.94694192,-78.81402935,,,,
42.94693726,-78.81396884,,,,
42.94693327,-78.81391695,,,,
42.94692979,-78.81387174,,,,
42.94692804,-78.813849,,,,
42.94692565,-78.81381804,,,,
42.94692552,-78.81378741,,,,
42.94691449,-78.81376346,,,,
42.94687222,-78.81375111,,,,
42.94682117,-78.81375498,,,,
42.9467641,-78.81376044,,,,
42.94669952,-78.81376363,,,,
42.94663387,-78.81376579,,,,
42.94657,-78.81377164,,,,
42.94650621,-78.81377033,,,,
42.94644067,-78.81377184,,,,
42.94637391,-78.81377638,,,,
42.94631133,-78.81378489,,,,
42.94625742,-78.81378984,,,,
42.94621447,-78.81378758,,,,
42.9461789,-78.81378649,,,,
42.94615431,-78.81378579,,,,
42.94613689,-78.81378292,,,,
42.94610161,-78.81378521,,,,
42.94607926,-78.81379405,,,,
42.94605006,-78.81378643,,,,
42.94603235,-78.81385764,,,,
42.94602749,-78.81391864,,,,
42.94602878,-78.8139882,,,,
42.94603035,-78.8140698,,,,
42.94603501,-78.81416118,,,,
42.9460417,-78.81425982,,,,
42.94605038,-78.81436367,,,,
42.9460573,-78.81447438,,,,
42.94606674,-78.81459308,,,,
42.94607744,-78.8147153,,,,
42.94608623,-78.81484036,,,,
42.94609791,-78.81496658,,,,
42.94610842,-78.81509494,,,,
42.94611867,-78.81522292,,,,
42.94612804,-78.81534747,,,,
42.94613845,-78.81547321,,,,
42.94614759,-78.81559426,,,,
42.94615824,-78.81571314,,,,
42.94616816,-78.81583078,,,,
42.94617941,-78.81594511,,,,
42.94619129,-78.81606115,,,,
42.94620481,-78.81618148,,,,
42.94621764,-78.8163042,,,,
42.94623195,-78.81643081,,,,
42.94624402,-78.81655713,,,,
42.9462574,-78.81668425,,,,
42.94626918,-78.81681164,,,,
42.94628283,-78.81693736,,,,
42.94629625,-78.81705289,,,,
42.94630719,-78.81715386,,,,
42.94631659,-78.81724348,,,,
42.94632438,-78.81732564,,,,
42.94633541,-78.81739074,,,,
42.94634225,-78.8174309,,,,
42.94632909,-78.81745658,,,,
42.94634585,-78.81747319,,,,
42.94633884,-78.81750085,,,,
42.94630931,-78.81753348,,,,
42.94626219,-78.81763955,,,,
42.94620324,-78.817639,,,,
42.94613284,-78.81763827,,,,
42.94605413,-78.81763745,,,,
42.94597219,-78.8176366,,,,
42.94588732,-78.81763572,,,,
42.9458018,-78.81763484,,,,
42.94571785,-78.81763986,,,,
42.94564085,-78.81764594,,,,
42.94557086,-78.81764691,,,,
42.94551701,-78.81764869,,,,
42.9454748,-78.81764853,,,,
42.94545023,-78.81764646,,,,
42.94543745,-78.8176718,,,,
42.94542381,-78.81765552,,,,
42.94540048,-78.81765552,,,,
42.94537821,-78.81765552,,,,
42.94536258,-78.81780213,,,,
42.94536725,-78.81787679,,,,
42.94537368,-78.81796759,,,,
42.9453856,-78.81806632,,,,
42.94539534,-78.81817159,,,,
42.94540637,-78.81828342,,,,
42.94541127,-78.81839949,,,,
42.94542055,-78.81852445,,,,
42.94543069,-78.81865349,,,,
42.94544381,-78.81878157,,,,
42.94545506,-78.8189073,,,,
42.94546782,-78.81903054,,,,
42.94547947,-78.81914972,,,,
42.94549018,-78.81926707,,,,
42.94550113,-78.819382,,,,
42.94551171,-78.81949462,,,,
42.94552273,-78.81960545,,,,
42.94553346,-78.81971396,,,,
42.94554305,-78.81982081,,,,
42.94555378,-78.8199279,,,,
42.94556268,-78.82003891,,,,
42.94557385,-78.82015785,,,,
42.94558401,-78.82028585,,,,
42.94559525,-78.82041803,,,,
42.94560766,-78.8205484,,,,
42.94561922,-78.82067722,,,,
42.94563147,-78.82080262,,,,
42.94564564,-78.82092381,,,,
42.94565913,-78.82104094,,,,
42.94567158,-78.8211525,,,,
42.94568197,-78.82125377,,,,
42.94568863,-78.82133534,,,,
42.94569246,-78.82138915,,,,
42.94569528,-78.82142809,,,,
42.94568291,-78.82145474,,,,
42.9456876,-78.82150897,,,,
42.94569165,-78.82155593,,,,
42.94569716,-78.82161961,,,,
42.94570389,-78.82169761,,,,
42.94571083,-78.8217797,,,,
42.94571811,-78.82186515,,,,
42.94572581,-78.82195543,,,,
42.94573429,-78.822055,,,,
42.94574354,-78.82216358,,,,
42.94575316,-78.82227645,,,,
42.94576284,-78.82239005,,,,
42.94577286,-78.8225076,,,,
42.94578274,-78.82262363,,,,
42.94579314,-78.82274563,,,,
42.94580383,-78.82287108,,,,
42.94581454,-78.82299683,,,,
42.94582514,-78.82312121,,,,
42.94583574,-78.8232456,,,,
42.94584644,-78.82337117,,,,
42.94585681,-78.82349285,,,,
42.94586675,-78.82360953,,,,
42.94587628,-78.82372131,,,,
42.94588581,-78.82383319,,,,
42.94589518,-78.82394322,,,,
42.94590482,-78.82405634,,,,
42.94591464,-78.8241716,,,,
42.94592444,-78.82428661,,,,
42.94593425,-78.82440169,,,,
42.94594398,-78.82451584,,,,
42.94595371,-78.82463005,,,,
42.94596336,-78.82474333,,,,
42.94597302,-78.82485669,,,,
42.94598267,-78.8249699,,,,
42.94599204,-78.8250799,,,,
42.9460013,-78.82518862,,,,
42.94600994,-78.82528995,,,,
42.94601675,-78.82538338,,,,
42.94602179,-78.82546786,,,,
42.94602622,-78.82554214,,,,
42.94602684,-78.82560495,,,,
42.94602806,-78.82566051,,,,
42.94602909,-78.82570731,,,,
42.94602969,-78.82573417,,,,
