reclat,reclon
42.95018739,-78.82338185
42.95018985,-78.82338746
42.9502102,-78.82344116
42.9502425,-78.82343208
42.95022458,-78.82342432
42.95019865,-78.82341321
42.95018008,-78.82334661
42.95014792,-78.82324188
42.95015226,-78.82328802
42.95015893,-78.82328202
42.95014435,-78.82329976
42.95013281,-78.8232801
42.95011458,-78.8232667
42.95010427,-78.82323058
42.95007661,-78.82322212
42.95005466,-78.82320818
42.95002669,-78.82319631
42.950002,-78.82318625
42.94997781,-78.82319672
42.94994155,-78.82320823
42.94992096,-78.82320542
42.9498954,-78.82321598
42.94987666,-78.82320382
42.94989599,-78.82319501
42.94990101,-78.82316311
42.94989171,-78.82313815
42.94986959,-78.82312443
42.94985715,-78.82309673
42.94984776,-78.82306333
42.94984029,-78.82303942
42.949822,-78.82299965
42.94981372,-78.82296563
42.94979773,-78.82293975
42.94979027,-78.82291701
42.94977694,-78.82289082
42.94976308,-78.82285867
42.94975035,-78.82283281
42.94972964,-78.82281631
42.94970605,-78.8228017
42.9496786,-78.82278437
42.94966181,-78.82274392
42.94965391,-78.82271743
42.94962995,-78.82269484
42.94960695,-78.82267685
42.94957743,-78.82265613
42.94954827,-78.82262503
42.94953913,-78.82259935
42.94952535,-78.82257688
42.94952121,-78.82256488
42.9495073,-78.82254407
42.94948998,-78.82252508
42.94947705,-78.82250614
42.94945486,-78.82248228
42.94945726,-78.82245788
42.94946352,-78.82240856
42.94945594,-78.8223674
42.94944716,-78.82234393
42.94943844,-78.82230866
42.94941549,-78.82226835
42.94940996,-78.82222057
42.94939934,-78.82217977
42.94937805,-78.82215107
42.94936083,-78.82212094
42.94934542,-78.82209733
42.94933648,-78.8220663
42.94931636,-78.82204559
42.94930348,-78.82201577
42.94928836,-78.82197965
42.94927785,-78.821956
42.94925363,-78.82194032
42.9492507,-78.82192646
42.94923217,-78.82190398
42.94921199,-78.82188168
42.94919411,-78.82186271
42.94917429,-78.82183103
42.94915831,-78.82180558
42.94915393,-78.82175508
42.94914568,-78.82172073
42.94913917,-78.82167891
42.94912534,-78.82165201
42.94911892,-78.82161752
42.94911382,-78.82157856
42.94910117,-78.82155232
42.94908662,-78.82158535
42.94906285,-78.82159113
42.94903352,-78.82159886
42.9490151,-78.82161245
42.94898906,-78.82161631
42.94896467,-78.82161174
42.94893552,-78.82161157
42.94891249,-78.82160935
42.94888039,-78.82161109
42.94885253,-78.82161565
42.94883239,-78.82161921
42.94880732,-78.82161711
42.94878133,-78.8216081
42.94876161,-78.82161028
42.94873365,-78.82160625
42.94870156,-78.82160667
42.94866629,-78.82161455
42.94863657,-78.82161878
42.94861168,-78.82161538
42.94858275,-78.82160136
42.94855678,-78.82158476
42.94853375,-78.82159464
42.94850272,-78.82159946
42.94847317,-78.82159598
42.94844051,-78.82159366
42.94842076,-78.82161243
42.94843448,-78.82164735
42.94845211,-78.82166332
42.94846657,-78.82167887
42.9484798,-78.82171596
42.94849114,-78.82174934
42.94849498,-78.8217811
42.94846683,-78.82178
42.94844648,-78.82178616
42.94842388,-78.82179974
42.94839835,-78.82181745
42.94837741,-78.82183076
42.94837164,-78.82179681
42.94834927,-78.82178351
42.94832514,-78.82177506
42.94830583,-78.82176043
42.94827866,-78.82175487
42.94825071,-78.82174909
42.94822426,-78.82174238
42.94820025,-78.82173794
42.94817868,-78.82173101
42.94815369,-78.82173616
42.94813144,-78.82173495
42.9481059,-78.82175089
42.94808787,-78.82174869
42.9480605,-78.82174342
42.94802849,-78.82173617
42.9480097,-78.82173069
42.94798605,-78.82173865
42.94796749,-78.82173666
42.9479415,-78.82173876
42.9479229,-78.82175051
42.94789896,-78.82175829
42.94787777,-78.82176434
42.94785716,-78.82177889
42.94782928,-78.82179444
42.94779999,-78.821791
42.94778251,-78.82179809
42.94776002,-78.8217957
42.94773488,-78.82178918
42.94770278,-78.82178493
42.94768788,-78.82176342
42.94765715,-78.82175443
42.94762839,-78.82175194
42.94760802,-78.82175055
42.94758766,-78.82174987
42.94756686,-78.82176274
42.94754685,-78.8217894
42.94754147,-78.82181932
42.94752538,-78.82183338
42.94751532,-78.82180118
42.947511,-78.82177675
42.9475117,-78.82173942
42.94751349,-78.82170013
42.94751364,-78.82166881
42.94751224,-78.82163304
42.94751078,-78.82159844
42.94751399,-78.82157428
42.94750974,-78.821535
42.94751357,-78.82149754
42.94751292,-78.82146767
42.94751244,-78.82143233
42.94750384,-78.82139071
42.9475086,-78.82134906
42.94750436,-78.82132011
42.94751006,-78.821292
42.94751194,-78.82125796
42.94750345,-78.82121704
42.94750099,-78.82118925
42.94750045,-78.82116456
42.94750382,-78.82113799
42.94750428,-78.82110728
42.94749788,-78.82107191
42.94749049,-78.82103501
42.94748741,-78.82100557
42.94748544,-78.8209766
42.94747661,-78.82094843
42.94747168,-78.82090136
42.9474671,-78.82086675
42.94745963,-78.82082233
42.94746067,-78.82079561
42.94746475,-78.82076196
42.94746463,-78.82072619
42.94747063,-78.82069689
42.94746825,-78.8206657
42.9474616,-78.82063619
42.94745295,-78.82060039
42.94746242,-78.82056076
42.94746145,-78.82052431
42.94746668,-78.82049633
42.94745967,-78.82046489
42.94745714,-78.82043576
42.94744644,-78.82040697
42.94743854,-78.82037769
42.94743213,-78.82035375
42.94742678,-78.8203075
42.94741779,-78.82027859
42.94740824,-78.8202475
42.94740712,-78.82021547
42.94739526,-78.8201843
42.94740059,-78.82016005
42.9473982,-78.82012254
42.94740536,-78.8200803
42.94742116,-78.82005159
42.94743092,-78.82001587
42.94742731,-78.81998773
42.94743393,-78.81995488
42.94744402,-78.81992357
42.94744687,-78.81989141
42.94744373,-78.81985883
42.94743604,-78.81982673
42.94743512,-78.81979113
42.94741831,-78.81975912
42.94741066,-78.81972823
42.94741066,-78.8197024
42.94740566,-78.81967576
42.9474066,-78.81963187
42.94739716,-78.81960644
42.94738632,-78.81956657
42.94738682,-78.81953139
42.94737513,-78.81949699
42.94737871,-78.81945716
42.94736443,-78.81942558
42.9473618,-78.81939045
42.94735437,-78.81935483
42.94734775,-78.81932586
42.94733809,-78.81930191
42.94733477,-78.81927598
42.94733303,-78.81924376
42.94731889,-78.81921099
42.94731401,-78.81917267
42.94731232,-78.81913973
42.94731587,-78.81911087
42.9473068,-78.81907633
42.9473088,-78.81902943
42.9473028,-78.81899189
42.94729832,-78.81896336
42.94729095,-78.81893847
42.94728938,-78.81891203
42.94729864,-78.81885554
42.94729416,-78.8188231
42.94730594,-78.8188004
42.94729795,-78.81877345
42.94728907,-78.81874253
42.9472935,-78.81871444
42.9473012,-78.81869225
42.94730239,-78.8186707
42.94729827,-78.81863254
42.94730425,-78.81860113
42.94731042,-78.81855576
42.9473045,-78.81851705
42.94729156,-78.81849021
42.94728744,-78.81846528
42.94727456,-78.81844057
42.94726636,-78.81841712
42.94726191,-78.81838265
42.94726129,-78.81834385
42.9472636,-78.81831409
42.94725047,-78.81827637
42.94725253,-78.81823979
42.94724983,-78.81821238
42.9472435,-78.81818918
42.94725295,-78.81815528
42.94725932,-78.81811122
42.94725852,-78.81807849
42.94726293,-78.81804433
42.9472609,-78.81801954
42.9472475,-78.81798369
42.94723643,-78.81794593
42.94723641,-78.81790476
42.94722857,-78.8178814
42.94722682,-78.81784808
42.94723035,-78.81782047
42.94723032,-78.81777793
42.94722511,-78.81773679
42.94721094,-78.81770169
42.94720482,-78.81766508
42.94718855,-78.8176373
42.9471854,-78.81760248
42.9471956,-78.81757644
42.9471897,-78.81753799
